"name","dime_cid","cf_score","state","judge_type"
"James T. Turner",2748909782,0.00479004944611707,"US","federal"
"Laurence J. Whalen",2466756230,0.894047210519868,"US","federal"
"Eric H. Holder",2959994853,-0.828574343246373,"US","federal"
"Kenneth B. Kramer",3131063773,-1.01167137542032,"US","federal"
"Hart T. Mankin",3183117876,0.82148830726995,"US","federal"
"Donald L. Ivers",4927314547,1.11399439386938,"US","federal"
"Joan Z. McAvoy",53247155009,-0.510462777017182,"US","federal"
"Ellen Segal Huvelle",53810357686,-0.767914148846416,"US","federal"
"Frederick D. Dorsey",28166832701,-1.53601081172937,"US","federal"
"James S. Halpern",2739904202,-0.650502643978893,"US","federal"
"Jonathan R. Steinberg",2329672051,0.304455502223396,"US","federal"
"Richard W. Goldberg",2514776473,0.747160033485568,"US","federal"
"Renato Beghe",3720256790,0.495665883873829,"US","federal"
"Susan J. Crawford",3111066172,-1.42457533689874,"US","federal"
"Lee F. Satterfield",52269638935,-1.16656689287619,"US","federal"
"John S. Unpingco",3736271131,-0.0720222378926517,"US","federal"
"David Laro",3780448238,0.929757339489239,"US","federal"
"Carolyn P. Chiechi",53768406618,0.64570607414879,"US","federal"
"Rafael Diaz",2620836673,-0.63687434755333,"US","federal"
"Eric T. Washington",2706879941,-1.06427252111343,"US","federal"
"Ronna Lee Beck",52288650370,-1.03855816843486,"US","federal"
"Juan F. Vasquez",2860952118,-0.425460389867646,"US","federal"
"Evan J. Wallach",2314651078,-0.53073516493841,"US","federal"
"Joseph H. Gale",3130058922,-1.02733458190628,"US","federal"
"Robert E. Morin",3082022197,0.0138716196583413,"US","federal"
"Lawrence Baskir",3787910839,-0.821558836879471,"US","federal"
"Patricia A. Broderick",3010004673,-1.24416682374931,"US","federal"
"William P. Greene",2513780263,-1.40269485504596,"US","federal"
"Anita M. Josey",52446755769,-0.821558836879471,"US","federal"
"John M. Campbell",5734286030,-0.574402988592113,"US","federal"
"Mary Ann Cohen",79195867929,-1.53601081172937,"US","federal"
"L. Paige Marvel",53248181524,-0.810792400845554,"US","federal"
"Delissa A. Ridgway",53207143390,-1.12880339903731,"US","federal"
"Judith M. Barzilay",53757336930,-0.0360060004590887,"US","federal"
"Neal E. Kravitz",3247155290,-1.16656689287619,"US","federal"
"Francis M. Allegra",3403175602,-0.932031522391638,"US","federal"
"Emily Clark Hewitt",52939984898,-1.01674995868783,"US","federal"
"Thomas J. Motley",3124074494,-0.611293077684078,"US","federal"
"James Edgar Baker",2830943442,-0.812518998630536,"US","federal"
"Gerald Fisher",3932836378,-1.2835688327133,"US","federal"
"Stephen J. Swift",2988999721,1.1783736656651,"US","federal"
"Joel Gerber",2291656617,0.397683955305641,"US","federal"
"Lawrence J. Block",3261173337,-0.470137715263563,"US","federal"
"James E. Boasberg",2851948952,0.390643268636196,"US","federal"
"Charles E. Erdmann",5321754772,0.56697350282383,"US","federal"
"Alan G. Lance",3269147976,1.08074297302225,"US","federal"
"Bruce E. Kasold",3780475623,1.07912813680366,"US","federal"
"Victor J. Wolski",2813932262,0.856856743429508,"US","federal"
"Mary Ellen Coster Williams",52616826436,-1.53601081172937,"US","federal"
"Charles F. Lettow",5492980310,0.964052573487751,"US","federal"
"Susan G. Braden",52723896966,0.778417749035672,"US","federal"
"Timothy C. Stanceu",3771393744,0.761693216719117,"US","federal"
"Joseph Robert Goeke",3327178110,0.235421869311468,"US","federal"
"Jerry Stewart Byrd",5201481505,0.897591147581916,"US","federal"
"Judith Nan Macaluso",52936999314,-0.624831583324516,"US","federal"
"Robert Allen Wherry",3431175168,0.576758142644306,"US","federal"
"Mark Van Dyke Holmes",2400716029,0.998211291265616,"US","federal"
"Diane L. Kroupa",53417181541,0.932372880194533,"US","federal"
"Robert N. Davis",3231151115,0.54322576244125,"US","federal"
"Brian F. Holeman",3169113913,-0.729723893824409,"US","federal"
"Thomas Craig Wheeler",2265638482,1.03503300145865,"US","federal"
"Heidi M. Pasichow",53783629629,-1.07421172237897,"US","federal"
"Anthony C. Epstein",2439748449,-1.10384813642033,"US","federal"
"Marisa J. Demeo",53127074674,-1.16656689287619,"US","federal"
"Stuart Gordon Nash",2578815890,0.908611346677458,"US","federal"
"Judith Anne Smith",26973495312,-1.16610275976711,"US","federal"
"Todd E. Edelman",2945994715,-1.43452217436993,"US","federal"
"Maria Elizabeth Raffinan",52987002057,-1.53601081172937,"US","federal"
"Wilma Antoinette Lewis",52570806951,-1.03266992199671,"US","federal"
"Kathleen Kerrigan",52998016468,-0.5897852890632,"US","federal"
"Fabe, Dana",53820447819,NA,"AK","state"
"Carpeneti, Walter L",NA,NA,"AK","state"
"Winfree, Daniel E",3336164079,0.516722475785664,"AK","state"
"Stowers, Craig",NA,NA,"AK","state"
"Stuart, Jacqueline L",53298162263,0.953076886308871,"AL","state"
"Woodall, Thomas A.",3096037425,0.86943888105052,"AL","state"
"Bolin, Michael F",2998006153,1.00960358336429,"AL","state"
"Parker, Tom",3818443756,1.03307520857233,"AL","state"
"Murdock, Glenn",3820450862,NA,"AL","state"
"Shaw, Greg",3818445106,1.0993801671953,"AL","state"
"Wise, Alisa Kelli",54020274834,0.877490369984949,"AL","state"
"Malone, Charles",3083034345,1.04798877580092,"AL","state"
"Main, James Allen",3081041219,0.147413018042733,"AL","state"
"Brown, Robert Laidlaw",3120063094,0.335820160448188,"AR","state"
"Corbin, Donald L",3816417590,NA,"AR","state"
"Hannah, James",NA,NA,"AR","state"
"Gunter, James Houston",NA,NA,"AR","state"
"Danielson, Paul E",3818441319,-0.4958913988564,"AR","state"
"Baker, Karen",54086312313,-0.541402232341441,"AR","state"
"Henry, Courtney Hudson",53818438857,NA,"AR","state"
"Berch, Rebecca White",53788031961,0.152110279141359,"AZ","state"
"Hurwitz, Andrew D",2962995096,-0.648914781162925,"AZ","state"
"Bales, W. Scott",3192125569,-0.944303312723487,"AZ","state"
"Pelander, A. John",NA,NA,"AZ","state"
"Brutinel, Robert M",3765373899,0.9838900977374,"AZ","state"
"Cantil-Sakauye, Tani",53787871465,-0.479776767243491,"CA","state"
"Kennard, Joyce L",NA,NA,"CA","state"
"Werdegar, Kathryn M",53820440428,-0.413793799938146,"CA","state"
"Chin, Ming W",2906978771,-0.692913720833052,"CA","state"
"Baxter, Marvin R",5201523802,0.542181359385644,"CA","state"
"Corrigan, Carol A",NA,NA,"CA","state"
"HOBBS, GREGORY J",2760927126,-0.938674093415846,"CO","state"
"BENDER, MICHAEL L",2954989278,-0.789378795033603,"CO","state"
"MARTINEZ, ALEX J",NA,NA,"CO","state"
"RICE, NANCY E",NA,NA,"CO","state"
"COATS, NATHAN B",2521787674,0.42967434524006,"CO","state"
"EID, ALLISON",55724222712,1.03792478003036,"CO","state"
"MARQUEZ, MONICA MARIE",52480759247,-1.26737901351963,"CO","state"
"Rogers, Chase T",3928837864,0.172005206777802,"CT","state"
"Norcott, Flemming L",NA,NA,"CT","state"
"Katz, Joette",NA,NA,"CT","state"
"Palmer, Richard N",NA,NA,"CT","state"
"Zarella, Peter T",3725255191,0.790514298349277,"CT","state"
"McLachlan, C. Ian",NA,NA,"CT","state"
"Eveleigh, Dennis G",NA,NA,"CT","state"
"Vertefeuille, Christine S",53743281117,-0.0675660002195294,"CT","state"
"Steele, Myron T",NA,NA,"DE","state"
"Berger, Carolyn",NA,NA,"DE","state"
"Holland, Randy J",2833943907,0.718736242995256,"DE","state"
"Jacobs, Jack B",2545810331,-0.660846399865276,"DE","state"
"duPont Ridgely, Henry",NA,NA,"DE","state"
"Pariente, Barbara J",53818443828,-0.635812549387107,"FL","state"
"Lewis, R Fred",3818440024,NA,"FL","state"
"Quince, Peggy A",53822467292,NA,"FL","state"
"Canady, Charles T",NA,NA,"FL","state"
"Polston, Ricky",3474210006,0.863901302770962,"FL","state"
"Labarga, Jorge",NA,NA,"FL","state"
"Perry, James E C",NA,NA,"FL","state"
"Benham, Robert",2424745113,-0.681616274806785,"GA","state"
"Hunstein, Carol W.",53818418972,-0.125507751342072,"GA","state"
"Carley, George H",NA,NA,"GA","state"
"Thompson, Hugh P",NA,NA,"GA","state"
"Hines, Harris",2788917432,0.668832094235422,"GA","state"
"Melton, Harold D",NA,NA,"GA","state"
"Nahmias, David E",NA,NA,"GA","state"
"Recktenwald, Mark E",3788004833,0.363963330076062,"HI","state"
"Nakayama, Paula A",NA,NA,"HI","state"
"Acoba, Simeon R",NA,NA,"HI","state"
"Duffy, James E",2899979445,-0.376790843658428,"HI","state"
